instrument,From,To,Multiplier,,
AARTIIND,02-04-2022,21-09-2022,2000000,,
AARTIIND,22-09-2022,25-11-2011,4000000,,
Astral,19-03-2021,13-03-2023,1.33,,Round off to nearest multiple of 0.05
Astral,17-09-2019,18-03-2021,1.7689,,
Astral,01-01-2018,16-09-2019,2.211,,
BAJAJFINSV,01-01-2018,13-09-2022,10,,
BEL,01-01-2018,15-09-2022,3,,
BERGEPAINT,01-01-2018,22-09-2023,1.2,,
BIOCON,01-01-2018,11-06-2019,2,,
BRITANNIA,01-01-2018,29-11-2018,2,,
CANBK,01-01-2018,14-05-2023,5,,
CHOLAFIN,01-01-2018,13-06-2019,5,,
CONCOR,27-06-2018,04-02-2019,1.25,,
CONCOR,01-01-2018,26-06-2018,2.5,,
CUB,01-01-2018,10-07-2018,1.1,,
DIXON,01-01-2018,18-03-2021,5,,
EICHERMOT,01-01-2018,24-08-2020,10,,
GAIL,09-07-2019,05-09-2022,1.5,,
GAIL,27-03-2018,08-07-2019,3,,
GAIL,01-01-2018,26-03-2018,4,,
GODREJCP,01-01-2018,11-09-2018,1.5,,
GUJGASLTD,01-01-2018,14-01-2019,5,,
HAL,01-01-2018,27-09-2023,2,,
HCLTECH,01-01-2018,04-12-2019,2,,
IEX,01-01-2018,02-12-2021,3,,
INDIAMART,01-01-2018,20-06-2023,2,,
INFIBEAM,18-03-2021,14-03-2022,2,,
INFIBEAM,01-01-2018,17-03-2021,4,,
INFY,01-01-2018,03-09-2018,2,,
IOC,15-03-2018,29-06-2022,1.5,,
IOC,01-01-2018,14-03-2018,3,,
IPCALAB,01-01-2018,09-01-2022,2,,
IRB,01-01-2018,21-02-2023,10,,
IRCTC,01-01-2018,27-10-2021,5,,
JUBLFOOD,21-06-2018,18-04-2022,5,,
JUBLFOOD,01-01-2018,20-06-2018,10,,
KTKBANK,01-01-2018,16-03-2020,1.1,,
LAURUSLABS,01-01-2018,28-09-2020,5,,
MCDOWELL-N,01-01-2018,14-06-2018,5,,
MOTHERSON,PPPPP,PPPPP,PPPPP,,
NBCC,01-01-2018,24-04-2018,2,,
NESTLEIND,01-01-2018,04-01-2024,10,,
NTPC,01-01-2018,18-03-2019,1.2,,
OIL,01-01-2018,26-03-2018,1.5,,
PERSISTENT,01-01-2018,27-03-2024,2,,
PFC,01-01-2018,20-09-2023,1.25,,
POWERGRID,29-07-2021,11-09-2023,1.33,,
POWERGRID,01-01-2018,28-07-2021,1.7689,,
RECLTD,01-01-2018,16-08-2022,1.33,,
SRF,01-01-2018,12-10-2021,5,,
SYNGENE,01-01-2018,10-06-2019,2,,
TATASTEEL,01-01-2018,27-07-2022,10,,
TCS,01-01-2018,30-05-2018,2,,
TORNTPHARM,01-01-2018,07-06-2022,2,,
UPL,01-01-2018,01-07-2019,1.5,,
WIPRO,01-01-2018,05-03-2019,1.33,,
AARTIIND,28-09-2019,22-06-2021,2,,
AARTIIND,01-01-2018,27-09-2019,4,,